X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
589457.3443,4791392.3834,508,Cushion,Longwood Road North - Approx. 120m North of Franklin Avenue
588600.3911,4788995.3389,509,Cushion,"Beddoe Drive (Between 120 Beddoe and Chedoke 43.248708, -79.906776)"
588584.6016,4788936.9758,510,Cushion,"Beddoe Drive (Between 120 Beddoe and Chedoke 43.248097, -79.908769)"
590595.3074,4790860.1943,511,Cushion,120 Strathcona Avenue North
590890.779,4789736.5515,512,Cushion,206 Bold Street
588865.1667,4785549.6904,513,Cushion,567/571 Brigadoon Drive
591862.2329,4791304.9255,514,Cushion,Harbour Front Drive
588988.3109,4785397.1504,515,Cushion,639/641 Bridgadoon Dr
589231.1276,4785291.3407,516,Cushion,747 Bridgadoon Drive
589747.6034,4783651.3673,517,Cushion,17 Malton Drive (btwn driveways of Corpus Christi Church)
591963.6959,4788386.2546,518,Cushion,69 Highcliffe Avenue
590134.9302,4787693.1111,519,Cushion,74/70 Columbia Drive
590080.2466,4787521.4596,520,Cushion,104 Columbia Drive
591124.1323,4786992.8877,521,Cushion,158 Terrace Drive
591105.3674,4786931.5662,522,Cushion,176 Terrace Drive
591087.2458,4786871.3696,523,Cushion,190 Terrace Drive
593455.3067,4787690.9361,524,Cushion,128 East 26th Street
593542.7327,4787970.7774,525,Cushion,40 East 26th Street
593104.3223,4783313.2408,526,Cushion,413 Eaglewood Drive
593068.9214,4783192.4325,527,Cushion,453 Eaglewood Drive
598048.5073,4783529.308,528,Cushion,21 Mistywood Drive
597003.0448,4781313.2303,529,Cushion,56 Fletcher Road
596893.8655,4780940.0291,530,Cushion,160 Fletcher Road
593638.9981,4785338.0265,531,Cushion,33 Edwina Place
591583.9937,4782990.6387,532,Cushion,48 Jessica Street
591607.2242,4784604.0949,533,Cushion,413 Crerar Drive
588656.0812,4785871.6503,534,Cushion,59/55 Garrow Dr
588387.7482,4786303.2567,535,Cushion,83/85 Cranbrook Dr
588493.9156,4786269.2997,536,Cushion,109/111 Cranbrook Dr
588468.8315,4785720.4395,537,Cushion,265 Cranbrook Drive
588193.853,4785385.4442,538,Cushion,71 Courtland Avenue
588170.9102,4785309.8648,539,Cushion,10.0m South of 91 Courtland Avenue
587367.0929,4787174.807,540,Cushion,162 Magnolia Drive
587431.5186,4786908.2143,541,Cushion,Magnolia Dr - 25m south of Lionsgate Ave
587124.9176,4786118.8416,542,Cushion,692/684 Upper Horning Rd
587039.8021,4786492.5391,543,Cushion,575 Upper Horning Road
589500.5414,4787623.6074,544,Cushion,230/236 Bendamere Avenue
589752.5781,4787540.1143,545,Cushion,196 Bendamere Avenue
589927.161,4787482.9519,546,Cushion,150/148 Bendamere Avenue
591947.1951,4788626.5961,547,Cushion,180 Concession Street
591828.1636,4788570.73,548,Cushion,42 Belvidere Avenue
591014.9847,4788004.9591,549,Cushion,199 West 2nd
591084.0545,4788246.7926,550,Cushion,132 West 2nd
593359.5412,4790100.6533,551,Cushion,47/49 Smith Avenue
595438.5456,4788675.3893,552,Cushion,23 Belmont Avenue
592878.8299,4790190.5076,553,Cushion,184/186 West Avenue North
592933.8654,4790368.8684,554,Cushion,prop line of 240/242 West Ave N
592758.3027,4789793.5346,555,Cushion,63/65 West Avenue North
592808.0503,4789955.3601,556,Cushion,113 West Avenue North
594782.6704,4789526.8146,557,Cushion,85 Lottridge Street
594732.6296,4789359.8809,558,Cushion,16 Lottridge Street
594840.2008,4789715.7056,559,Cushion,138/140 Lottridge Street
594903.4681,4789932.2547,560,Cushion,202 Lottridge Street
595702.1142,4788982.7608,561,Cushion,146 Rosslyn Avenue North
595755.619,4789167.8256,562,Cushion,195/189 Rosslyn Avenue North
